title,rank,total_ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5_star_ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid,US_Sales,EU_Sales,JP_Sales,Global_Sales
Last Day on Earth: Survival,20,4159837.0,50000000.0,4,0.7,1.6,0.0,GAME_ACTION,3073534,463932.0,205166,103198,314004,False,80828,466606,877060,745929
Agar.io,21,4112075.0,100000000.0,3,0.2,0.3,0.0,GAME_ACTION,2493810,428315.0,289428,156522,743997,False,10949,979082,81508,133653
DEER HUNTER CLASSIC,22,3987062.0,100000000.0,4,0.0,0.0,0.0,GAME_ACTION,2776350,614755.0,242698,81199,272058,False,980224,710899,499413,509529
Modern Combat 5: eSports FPS,23,3516024.0,100000000.0,4,0.5,1.0,0.0,GAME_ACTION,2419540,421218.0,214049,100008,361206,False,324595,521889,791391,713762
Kick the Buddy,24,3213257.0,100000000.0,4,1.0,2.3,0.0,GAME_ACTION,2174466,265019.0,189630,118612,465528,False,778709,829142,207869,428706
Special Forces Group 2,25,3195503.0,100000000.0,4,1.4,7584.9,0.0,GAME_ACTION,2486283,232254.0,118927,70889,287147,False,285675,322775,142661,343650
DEAD TRIGGER 2 - Zombie Game FPS shooter,26,3140510.0,50000000.0,4,0.2,0.5,0.0,GAME_ACTION,2332406,409344.0,156460,63835,178462,False,387191,456956,765962,120822
Mini Militia - Doodle Army 2,27,3133361.0,100000000.0,4,0.9,2.1,0.0,GAME_ACTION,2107121,271167.0,174340,107203,473528,False,300796,692190,178220,51877
Call of Duty®: Mobile - Garena,28,2695923.0,10000000.0,4,3.2,5.5,0.0,GAME_ACTION,1922909,223625.0,133776,79762,335849,False,205590,803791,264590,936731
CATS: Crash Arena Turbo Stars,29,2670589.0,50000000.0,4,1082.3,1.0,0.0,GAME_ACTION,1944649,272948.0,134237,69845,248907,False,44544,680873,236744,725733
Injustice: Gods Among Us,30,2540439.0,10000000.0,4,0.1,0.2,0.0,GAME_ACTION,1879504,251048.0,115871,60732,233281,False,755368,610465,841881,935706
Swamp Attack,31,2472561.0,100000000.0,4,0.3,0.7,0.0,GAME_ACTION,1841035,284687.0,138333,56785,151718,False,542464,283958,158881,69676
GUNSHIP BATTLE: Helicopter 3D,32,2380639.0,50000000.0,4,0.2,0.3,0.0,GAME_ACTION,1582549,267812.0,149090,73581,307605,False,214040,365194,261277,305429
Real Steel World Robot Boxing,33,2365838.0,50000000.0,4,0.1,0.2,0.0,GAME_ACTION,1849560,211891.0,101452,42652,160281,False,610454,812410,563461,792181
Critical Ops: Online Multiplayer FPS Shooting Game,34,2271977.0,50000000.0,4,0.4,0.9,0.0,GAME_ACTION,1561779,253442.0,130615,65118,261021,False,551072,289422,845313,14568
LINE Rangers - a tower defense RPG w/Brown & Cony!,35,2131549.0,10000000.0,4,0.1,0.2,0.0,GAME_ACTION,1508264,249413.0,138706,48233,186930,False,72647,557331,87107,577262
Worms Zone .io - Voracious Snake,36,2100984.0,100000000.0,4,3.1,6.7,0.0,GAME_ACTION,1509125,187398.0,116123,66573,221763,False,562467,136798,442228,134031
Six-Guns: Gang Showdown,37,2083413.0,10000000.0,4,0.1,0.1,0.0,GAME_ACTION,1394048,187327.0,118080,65989,317967,False,801690,644350,498452,614523
DEAD TARGET: Zombie Offline - Shooting Games,38,2006745.0,100000000.0,4,0.9,1.6,0.0,GAME_ACTION,1474331,212483.0,115682,53493,150754,False,218972,312698,820671,458301
FRONTLINE COMMANDO: D-DAY,39,1985016.0,10000000.0,3,0.3,0.6,0.0,GAME_ACTION,1293275,125940.0,82481,56490,426828,False,486358,740295,784386,581094
Mario Kart Tour,40,1949497.0,50000000.0,4,0.7,1.5,0.0,GAME_ACTION,1268146,253822.0,113829,62099,251599,False,186798,675658,71092,274496
Guns of Boom - Online PvP Action,41,1860814.0,50000000.0,4,0.1,0.1,0.0,GAME_ACTION,1160948,217692.0,116516,65998,299658,False,311650,5862,633272,337118
Hunter Assassin,42,1846221.0,100000000.0,4,2.7,6.1,0.0,GAME_ACTION,1224239,194406.0,138751,80276,208547,False,45674,459551,564984,326622
RULES OF SURVIVAL,43,1823477.0,50000000.0,3,0.1,0.2,0.0,GAME_ACTION,1182010,113508.0,91381,66639,369937,False,35794,594800,407128,853722
Zombie Catchers - love the hunt!,44,1796325.0,100000000.0,4,1.4,3.2,0.0,GAME_ACTION,1346602,186584.0,95030,41917,126190,False,810128,328143,893315,600073
Into the Dead,45,1714060.0,50000000.0,4,0.2,0.3,0.0,GAME_ACTION,1307508,207492.0,77701,27838,93519,False,965886,566765,996639,936386
Respawnables: Gun Shooting Games,46,1656299.0,10000000.0,4,0.1,0.2,0.0,GAME_ACTION,1168260,143292.0,81868,46576,216300,False,509459,21059,733493,809995
Modern Strike Online: Free PvP FPS shooting game,47,1642589.0,50000000.0,4,1.1,2.5,0.0,GAME_ACTION,1250905,137258.0,70168,38552,145704,False,702323,997422,175497,64655
Block Strike,48,1607897.0,10000000.0,4,0.2,0.5,0.0,GAME_ACTION,1036342,184035.0,107587,53758,226173,False,208347,204900,914928,861199
Blitz Brigade - Online FPS fun,49,1599244.0,10000000.0,3,0.0,0.0,0.0,GAME_ACTION,996575,145501.0,99100,53947,304119,False,19070,339981,768413,700649
Super Mario Run,50,1583866.0,100000000.0,3,0.3,0.8,0.0,GAME_ACTION,877904,162431.0,131708,84146,327675,False,426790,945155,854417,202842
Tomb of the Mask,51,1576576.0,100000000.0,4,2.3,5.3,0.0,GAME_ACTION,1146916,188132.0,81053,40397,120075,False,718365,194029,347420,75034
Archero,52,1542169.0,50000000.0,4,0.9,1.8,0.0,GAME_ACTION,1081928,209791.0,90183,36824,123441,False,229007,968004,101488,285791
DINO HUNTER: DEADLY SHORES,53,1495507.0,50000000.0,4,0.1,0.2,0.0,GAME_ACTION,1096349,179585.0,80390,29979,109201,False,243431,680191,159074,956135
DEAD TRIGGER - Offline Zombie Shooter,54,1481552.0,10000000.0,4,0.1,0.3,0.0,GAME_ACTION,1101432,189555.0,81708,28774,80080,False,204466,819940,513861,568181
Johnny Trigger - Action Shooting Game,55,1457639.0,100000000.0,4,1.2,2.7,0.0,GAME_ACTION,1091308,146150.0,77445,36949,105784,False,875701,993851,662495,841707
PPSSPP - PSP emulator,56,1396630.0,100000000.0,4,0.9,1.9,0.0,GAME_ACTION,1033914,134027.0,67488,33534,127664,False,71506,889414,964020,92718
Robbery Bob - Sneaky Adventures,57,1344699.0,100000000.0,4,1.7,3.7,0.0,GAME_ACTION,1027860,91275.0,58201,37535,129825,False,351760,140629,939727,910999
Hide Online - Hunters vs Props,58,1301440.0,50000000.0,4,1.2,2.5,0.0,GAME_ACTION,944546,135687.0,69421,32918,118866,False,867506,329091,546000,377597
Soul Knight,59,1291305.0,50000000.0,4,1.4,2.9,0.0,GAME_ACTION,992147,145616.0,55754,23143,74642,False,529011,458777,642028,801432
aquapark.io,60,1258805.0,100000000.0,4,1.3,2.7,0.0,GAME_ACTION,820853,127892.0,80228,51083,178747,False,448105,681171,539180,417964
Creative Destruction,61,1254295.0,10000000.0,4,0.5,1.2,0.0,GAME_ACTION,896055,102711.0,59553,34605,161368,False,462908,600177,517799,753078
Anger of stick 5 : zombie,62,1238228.0,100000000.0,4,1.3,3.0,0.0,GAME_ACTION,909585,103667.0,61570,36884,126519,False,559488,822886,707499,497764
Bomber Friends,63,1227050.0,50000000.0,4,0.8,1.7,0.0,GAME_ACTION,876781,130160.0,71604,34890,113612,False,623737,338523,493957,362752
DRAGON BALL LEGENDS,64,1216126.0,10000000.0,4,1.6,3.6,0.0,GAME_ACTION,868905,139200.0,61082,28015,118922,False,861292,774272,27791,353088
Modern Sniper,65,1196490.0,50000000.0,4,0.3,0.6,0.0,GAME_ACTION,777088,124118.0,91842,47065,156374,False,274398,590715,966022,211752
Nebulous.io,66,1166709.0,50000000.0,4,0.3,0.6,0.0,GAME_ACTION,829860,123712.0,68779,31450,112906,False,408830,49649,774140,599380
War Machines: Tank Battle - Army & Military Games,67,1161701.0,100000000.0,4,1.2,2.4,0.0,GAME_ACTION,692694,176040.0,96601,46480,149883,False,10556,839277,691562,613594
Sea Battle 2,68,1134127.0,10000000.0,4,1.4,3.1,0.0,GAME_ACTION,904701,144910.0,43308,12872,28334,False,729335,298715,612887,91118
FRAG Pro Shooter,69,1129645.0,50000000.0,4,4.1,8.5,0.0,GAME_ACTION,846003,88206.0,53387,31451,110596,False,329025,927640,23182,754429
PUBG MOBILE,70,1073769.0,10000000.0,4,2.7,4.5,0.0,GAME_ACTION,839876,56847.0,34971,22041,120032,False,491369,280078,253469,503873
Rope Hero: Vice Town,71,1070197.0,100000000.0,4,2.6,5.6,0.0,GAME_ACTION,758309,80160.0,55138,37528,139060,False,391396,79894,250868,883262
DRAGON BALL Z DOKKAN BATTLE,72,1066554.0,10000000.0,4,0.5,0.9,0.0,GAME_ACTION,795922,118008.0,40491,18831,93301,False,348914,99211,579907,408143
Deer Hunter 2018,73,1023162.0,50000000.0,4,0.0,0.1,0.0,GAME_ACTION,637243,120170.0,62893,33380,169472,False,153335,452280,782558,680162
FRONTLINE COMMANDO 2,74,998677.0,10000000.0,4,0.0,0.1,0.0,GAME_ACTION,716212,146888.0,62106,19161,54308,False,313231,205912,630795,230418
Real Gangster Crime,75,996586.0,100000000.0,4,2.7,5.9,0.0,GAME_ACTION,682355,73943.0,51588,39307,149391,False,564406,717910,721912,302069
Battlelands Royale,76,992742.0,10000000.0,4,0.2,0.6,0.0,GAME_ACTION,617561,123643.0,72319,38945,140270,False,332738,857697,720868,150676
Talking Tom Hero Dash - Run Game,77,974789.0,100000000.0,4,4.2,9.0,0.0,GAME_ACTION,711239,72360.0,43788,30322,117078,False,670772,485212,152630,879275
Arena of Valor: 5v5 Arena Game,78,963507.0,10000000.0,3,0.5,0.9,0.0,GAME_ACTION,547583,109014.0,62331,33309,211267,False,857027,42737,941030,510806
BombSquad,79,907609.0,10000000.0,4,0.7,1.4,0.0,GAME_ACTION,669505,94180.0,47135,22028,74760,False,561654,206043,75338,294346
PUBG MOBILE VN – KONG x GODZILLA,80,900069.0,10000000.0,4,1.5,2.3,0.0,GAME_ACTION,623089,74194.0,38393,22556,141835,False,241106,553258,546555,362963
Crisis Action: 5th Anniversary,81,875257.0,10000000.0,3,0.1,0.2,0.0,GAME_ACTION,550679,68691.0,58297,34315,163272,False,154859,237407,151529,760297
Supreme Duelist Stickman,82,875065.0,100000000.0,4,6.4,14.5,0.0,GAME_ACTION,702488,63211.0,30606,16093,62664,False,465347,486642,347198,80150
Miraculous Ladybug & Cat Noir,83,864581.0,100000000.0,4,2.5,5.3,0.0,GAME_ACTION,650499,70109.0,36672,23021,84278,False,500912,272535,512602,440572
Injustice 2,84,809654.0,10000000.0,4,0.5,1.3,0.0,GAME_ACTION,537380,104057.0,50801,25962,91451,False,490421,950648,483646,761215
NARUTO X BORUTO NINJA VOLTAGE,85,809487.0,10000000.0,4,1.9,4.2,0.0,GAME_ACTION,550198,75892.0,46216,25340,111839,False,820759,739248,238924,177480
Flippy Knife,86,808331.0,10000000.0,4,0.3,0.8,0.0,GAME_ACTION,514130,120636.0,67629,30074,75860,False,466270,708879,505527,48922
Bus Rush,87,800432.0,100000000.0,4,0.1,0.2,0.0,GAME_ACTION,565625,79308.0,51475,23173,80847,False,688215,641577,474758,224484
BLOOD & GLORY,88,799866.0,10000000.0,3,0.0,0.0,0.0,GAME_ACTION,487332,76581.0,33776,18217,183958,False,687591,446782,131747,999020
Murder us,89,799114.0,10000000.0,4,2.9,9.0,0.0,GAME_ACTION,628812,68233.0,33155,13323,55590,False,66379,292730,5614,928868
Robbery Bob 2: Double Trouble,90,794575.0,50000000.0,4,1.7,3.6,0.0,GAME_ACTION,614844,53826.0,33678,20882,71341,False,241277,80085,400329,596590
Shadow Fight 2,91,792071.0,100000000.0,4,0.1,0.2,0.0,GAME_ACTION,680584,47463.0,18399,8824,36799,False,882657,435943,274245,948317
Vector 2,92,788653.0,50000000.0,4,0.3,0.7,0.0,GAME_ACTION,537934,79339.0,56540,30852,83985,False,607499,820167,513455,349810
Slap Kings,93,777188.0,50000000.0,4,1.4,3.1,0.0,GAME_ACTION,551328,86449.0,45301,21966,72141,False,26690,779897,935664,215337
Bed Wars,94,771254.0,50000000.0,4,3.0,6.6,0.0,GAME_ACTION,542497,74237.0,39639,20325,94553,False,956429,200643,1922,45359
Modern Ops - Online FPS (Gun Games Shooter),95,764042.0,10000000.0,4,3.0,7.1,0.0,GAME_ACTION,585204,77395.0,31524,15502,54414,False,550059,541963,360230,761343
Bullet Force,96,756002.0,10000000.0,3,0.1,0.1,0.0,GAME_ACTION,434187,90078.0,58506,35311,137917,False,582394,442085,317080,384460
SHADOWGUN: DEADZONE,97,748945.0,10000000.0,4,0.1,0.3,0.0,GAME_ACTION,554163,80239.0,38183,14231,62125,False,355566,600433,638696,567316
Royal Revolt 2: Tower Defense RTS & Castle Builder,98,727627.0,10000000.0,4,0.1,0.1,0.0,GAME_ACTION,541833,91851.0,33669,12216,48055,False,223980,377813,251117,858994
Lara Croft: Relic Run,99,718905.0,10000000.0,4,0.2,0.5,0.0,GAME_ACTION,445276,83143.0,55372,35836,99275,False,243793,483881,657268,690549
WWE Mayhem,100,703514.0,10000000.0,4,0.6,1.3,0.0,GAME_ACTION,519090,68518.0,34658,17634,63612,False,662871,142860,110102,758867
Roblox,1,21820451.0,100000000.0,4,2.6,5.7,0.0,GAME_ADVENTURE,16674013,1916826.0,822266,423122,1984222,False,636046,943133,235545,885975
Pokémon GO,2,14541662.0,100000000.0,4,0.5,0.9,0.0,GAME_ADVENTURE,9517488,1746849.0,883965,452314,1941044,False,105808,542286,262069,500551
Criminal Case,3,4273420.0,100000000.0,4,0.1,0.2,0.0,GAME_ADVENTURE,3264905,445397.0,217853,93681,251581,False,996893,14680,483447,10993
쿠키런 for Kakao,4,2544322.0,10000000.0,4,0.0,0.0,0.0,GAME_ADVENTURE,1722222,323198.0,198160,74312,226427,False,392053,722702,430938,495998
Harry Potter: Hogwarts Mystery,5,2258595.0,50000000.0,4,1.5,3.3,0.0,GAME_ADVENTURE,1659776,310670.0,122549,48906,116692,False,644900,784701,26892,557903
Kiloblocks Lite,6,2078458.0,100000000.0,3,0.0,0.0,0.0,GAME_ADVENTURE,1166370,247385.0,221072,104655,338974,False,928514,172188,118363,600323
Mini World: Block Art,7,2016845.0,50000000.0,4,15364.2,5.2,0.0,GAME_ADVENTURE,1423448,161233.0,90975,57560,283626,False,741486,79192,919969,61267
BADLAND,8,1585186.0,10000000.0,4,0.1,0.2,0.0,GAME_ADVENTURE,1211041,177267.0,74388,29809,92678,False,181955,725725,476262,468031
Genshin Impact,9,1550978.0,10000000.0,4,6.2,15.5,0.0,GAME_ADVENTURE,1248963,139513.0,50491,23697,88311,False,4366,665906,339766,615880
Ice Age Adventures,10,1434245.0,50000000.0,4,0.1,0.1,0.0,GAME_ADVENTURE,943752,176055.0,111141,53711,149584,False,746523,448398,993353,400439
The Walking Dead: Season One,11,1279866.0,10000000.0,4,0.1,0.3,0.0,GAME_ADVENTURE,990768,104418.0,57683,28206,98788,False,592459,117591,197945,548659
Benji Bananas,12,1164984.0,50000000.0,4,0.1,0.3,0.0,GAME_ADVENTURE,851605,128930.0,74782,26563,83101,False,706238,121385,57864,661058
KIM KARDASHIAN: HOLLYWOOD,13,1096282.0,10000000.0,4,0.1,0.1,0.0,GAME_ADVENTURE,754581,139419.0,71549,32075,98655,False,857934,128698,318609,413289
Growtopia,14,1014301.0,10000000.0,3,0.3,0.7,0.0,GAME_ADVENTURE,542530,73688.0,72005,51658,274417,False,919878,455650,968481,358308
Family Guy The Quest for Stuff,15,1008075.0,10000000.0,3,0.0,0.0,0.0,GAME_ADVENTURE,587972,126076.0,79831,49340,164854,False,144972,256830,634484,64052
The Secret Society - Hidden Objects Mystery,16,892542.0,5000000.0,4,0.1,0.1,0.0,GAME_ADVENTURE,532135,214918.0,102189,19643,23655,False,568404,595879,157043,598508
June's Journey: Hidden Objects,17,830121.0,10000000.0,4,1.9,4.0,0.0,GAME_ADVENTURE,580582,143752.0,41142,16642,48000,False,260960,30254,183563,772294
Murder in the Alps,18,822854.0,10000000.0,4,1.0,2.2,0.0,GAME_ADVENTURE,499384,155809.0,79328,34103,54228,False,346646,277851,520435,120944
Tiny Miner,19,753449.0,5000000.0,4,0.0,0.0,0.0,GAME_ADVENTURE,583782,93073.0,41661,10380,24550,False,567586,405607,115954,647488
Rayman Adventures,20,734291.0,10000000.0,4,0.2,0.5,0.0,GAME_ADVENTURE,548689,77834.0,37498,17379,52889,False,577675,886395,435921,145095
Swordigo,21,728187.0,10000000.0,4,0.5,1.0,0.0,GAME_ADVENTURE,601386,54972.0,24205,10694,36927,False,734018,533035,967235,328257
The Walking Dead: Season Two,22,677145.0,10000000.0,4,0.1,0.3,0.0,GAME_ADVENTURE,526704,54521.0,28494,14271,53152,False,220136,376645,536129,294447
Eyes: Scary Thriller - Creepy Horror Game,23,668761.0,10000000.0,4,1.1,2.2,0.0,GAME_ADVENTURE,502309,64074.0,32411,16085,53879,False,803258,321347,636690,366539
ARK: Survival Evolved,24,653025.0,10000000.0,4,2.6,5.5,0.0,GAME_ADVENTURE,422638,69283.0,42381,23676,95044,False,21521,674308,599082,828507
WorldCraft: 3D Build & Block Craft,25,637160.0,10000000.0,3,517.9,0.4,0.0,GAME_ADVENTURE,334913,57505.0,45776,33167,165796,False,474614,595368,945233,813212
Sonic Forces – Multiplayer Racing & Battle Game,26,625580.0,50000000.0,4,2.4,4.5,0.0,GAME_ADVENTURE,475950,58024.0,26954,14907,49743,False,630017,918913,517218,473347
RealmCraft with Skins Export to Minecraft,27,554454.0,50000000.0,4,2.0,4.4,0.0,GAME_ADVENTURE,378346,47366.0,27814,19163,81761,False,781265,424458,217006,358424
House Designer : Fix & Flip,28,549049.0,50000000.0,4,2.3,5.1,0.0,GAME_ADVENTURE,361061,64373.0,35178,20635,67799,False,909185,351271,125942,474311
Beggar Life - Clicker adventure,29,545166.0,5000000.0,4,0.1,0.0,0.0,GAME_ADVENTURE,367186,59836.0,37681,19145,61316,False,408091,734351,320194,587093
Animation Throwdown: The Collectible Card Game,30,532248.0,10000000.0,4,0.4,0.7,0.0,GAME_ADVENTURE,371942,93262.0,27248,11087,28706,False,113949,562840,516190,601443
Jurassic World Alive,31,530520.0,10000000.0,4,0.9,1.8,0.0,GAME_ADVENTURE,372553,68645.0,29737,14509,45074,False,390096,86715,157805,864226
Seekers Notes: Hidden Mystery,32,526594.0,10000000.0,4,0.6,1.2,0.0,GAME_ADVENTURE,329694,100003.0,44311,18809,33774,False,491246,383236,878622,853507
Mystery Manor: hidden objects,33,505541.0,10000000.0,4,2.3,5.3,0.0,GAME_ADVENTURE,359523,111661.0,17212,5896,11246,False,640311,861937,954689,497581
Crab War : Idle Swarm Evolution,34,495725.0,5000000.0,4,0.4,0.8,0.0,GAME_ADVENTURE,368974,72587.0,28261,8217,17684,False,454141,290341,709870,921553
Cyber Hunter,35,491846.0,10000000.0,4,0.5,0.9,0.0,GAME_ADVENTURE,312123,47791.0,31641,19418,80871,False,977434,331900,776284,567929
Diggy's Adventure: Mine Maze Levels & Pipe Puzzles,36,486767.0,10000000.0,4,0.7,1.7,0.0,GAME_ADVENTURE,335639,79203.0,27697,11655,32572,False,908160,14709,72370,50984
Ninja Arashi,37,476258.0,10000000.0,4,1.2,2.7,0.0,GAME_ADVENTURE,371122,46567.0,19971,9337,29259,False,592532,5412,508424,602618
LONEWOLF (17+) - a Sniper Story,38,443044.0,10000000.0,4,0.8,1.5,0.0,GAME_ADVENTURE,340597,55084.0,18141,7442,21778,False,398332,875988,987464,509621
Super Bob's World: Jungle Adventure- Free Run Game,39,442542.0,100000000.0,4,2.4,6.0,0.0,GAME_ADVENTURE,310760,41967.0,23638,14983,51191,False,377816,333915,7644,185833
Monster Warlord,40,434780.0,10000000.0,4,0.0,0.0,0.0,GAME_ADVENTURE,282007,58193.0,28882,13327,52369,False,620217,323336,426591,534933
Ingress Prime,41,428566.0,10000000.0,3,0.2,0.5,0.0,GAME_ADVENTURE,198352,56692.0,32869,24522,116130,False,639253,826621,958394,621858
Hidden Hotel: Miami Mystery,42,394199.0,10000000.0,4,0.6,1.3,0.0,GAME_ADVENTURE,259228,58165.0,28583,14117,34104,False,768608,840760,51947,657155
Survivors: The Quest,43,376854.0,1000000.0,4,1.2,2.5,0.0,GAME_ADVENTURE,210364,86173.0,53464,12423,14428,False,437393,349978,907108,219468
Manor Matters,44,373672.0,10000000.0,4,14.4,22.8,0.0,GAME_ADVENTURE,266506,60287.0,23503,7143,16231,False,707056,569428,506619,865332
Hard Time (Prison Sim),45,347489.0,10000000.0,3,0.6,1.4,0.0,GAME_ADVENTURE,213419,36163.0,25947,15482,56474,False,768954,269050,545203,28841
Draw a Stickman: EPIC 2,46,342940.0,10000000.0,3,0.7,1.7,0.0,GAME_ADVENTURE,210677,36908.0,25365,16060,53928,False,441143,88004,727176,687908
Westland Survival - Be a survivor in the Wild West,47,340647.0,10000000.0,4,2.0,4.9,0.0,GAME_ADVENTURE,240206,48397.0,20907,8870,22265,False,429708,229027,855296,531748
Transformers: RobotsInDisguise,48,326203.0,10000000.0,4,2283.0,0.4,0.0,GAME_ADVENTURE,238366,24575.0,15568,9217,38476,False,251656,833080,136512,539243
Crafting and Building,49,326177.0,10000000.0,4,11.7,27.8,0.0,GAME_ADVENTURE,248268,27790.0,11796,6681,31639,False,149150,553198,613472,751688
Ghost Town Adventures: Mystery Riddles Game,50,321154.0,10000000.0,4,0.1,0.2,0.0,GAME_ADVENTURE,205269,43812.0,25070,13274,33726,False,347198,572919,380147,263655
Hello Neighbor,51,320317.0,10000000.0,4,1027.4,17.4,0.0,GAME_ADVENTURE,208001,29851.0,19215,12693,50554,False,436538,902069,346980,286976
Piggy Boom-Be the island king,52,317393.0,10000000.0,4,0.1,0.2,0.0,GAME_ADVENTURE,254347,21977.0,13156,5943,21967,False,382939,100444,450965,256401
KENDALL & KYLIE,53,316902.0,5000000.0,4,0.0,0.1,0.0,GAME_ADVENTURE,237051,31312.0,17425,8567,22544,False,299565,721640,875571,225484
Shipwrecked:Castaway Island,54,316484.0,10000000.0,4,0.0,0.0,0.0,GAME_ADVENTURE,261012,25341.0,11826,4778,13525,False,331244,835564,589553,913943
Harry Potter: Wizards Unite,55,315349.0,10000000.0,3,0.2,0.5,0.0,GAME_ADVENTURE,147620,48065.0,29967,21162,68532,False,826128,413041,280399,922077
Masha and the Bear Child Games,56,310393.0,50000000.0,4,0.3,0.7,0.0,GAME_ADVENTURE,216151,24597.0,17098,10149,42396,False,862956,733944,326814,151825
Mirrors of Albion,57,302458.0,10000000.0,4,0.0,0.0,0.0,GAME_ADVENTURE,209809,34317.0,20129,11172,27028,False,962201,506624,547682,635852
Ninja warrior: legend of adventure games,58,299697.0,10000000.0,4,5.0,10.2,0.0,GAME_ADVENTURE,223886,21973.0,14655,8777,30403,False,570827,471748,409155,935086
Diamond Quest: Don't Rush!,59,276333.0,10000000.0,4,0.5,1.2,0.0,GAME_ADVENTURE,202494,37063.0,16735,6257,13781,False,586778,819873,815219,58010
Westbound:Perils Ranch,60,269887.0,10000000.0,4,0.0,60.6,0.0,GAME_ADVENTURE,215891,22409.0,13503,5547,12534,False,723031,605493,231992,590450
Clumsy Ninja,61,267176.0,10000000.0,4,0.1,0.1,0.0,GAME_ADVENTURE,203138,20459.0,11244,6006,26326,False,871150,470905,204510,774039
LEGO® Star Wars™: TFA,62,248376.0,10000000.0,3,0.8,1.7,0.0,GAME_ADVENTURE,156766,21189.0,14838,10225,45355,False,249008,334536,762691,864685
Tinker Island - Survival Story Adventure,63,245912.0,5000000.0,4,0.5,1.1,0.0,GAME_ADVENTURE,157308,34746.0,19289,10917,23650,False,726154,983286,212364,581309
FPS Commando Secret Mission - Free Shooting Games,64,244108.0,100000000.0,4,7.0,17.0,0.0,GAME_ADVENTURE,162830,18935.0,13921,9969,38451,False,838907,288663,977220,804331
﻿Dragon Land,65,241766.0,10000000.0,4,0.4,0.9,0.0,GAME_ADVENTURE,174210,25753.0,14123,7011,20666,False,331084,196123,477131,568824
The Island Castaway: Lost World®,66,237178.0,1000000.0,4,0.3,0.6,0.0,GAME_ADVENTURE,140986,51097.0,29799,6942,8351,False,170962,921197,852779,457425
